fecha,producto,categoria,cantidad,precio_unitario,region
2024-02-19,Webcam HD,Accesorios,62,1050,Centro
2024-02-23,Laptop Pro 15,Electronica,42,19000,Sur
2024-03-02,Monitor 24",Electronica,40,4400,Centro
2024-03-06,Teclado Mecanico,Accesorios,72,900,Norte
2024-03-10,Mouse Inalambrico,Accesorios,125,480,Centro
2024-03-14,Auriculares BT,Accesorios,95,1300,Sur
2024-03-18,Webcam HD,Accesorios,70,1050,Norte
2024-03-22,Laptop Pro 15,Electronica,48,19000,Centro
2024-03-26,Monitor 24",Electronica,45,4400,Sur
2024-03-30,Teclado Mecanico,Accesorios,78,900,Norte
